Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,CA-2016-152156,08/11/2016,11/11/2016,Second Class,CG-12520,ClaRre gUtE,cONBuMer,uNITeD STAtAs,HQndersON,kenTuGky,42420,SOUZH,FUR-BO-10001798,xuRNIture,BooKcasys,BTSH soKeRSeT CollECtioN BOokcase,261.96,2,0,41.9136
,,,,,,,,,,,,,,,,,,,,
4,US-2015-108966,11/10/2015,18/10/2015,Standard Class,SO-20335,seAn o'DonuElL,COnSfmer,UNivEd STAtes,fOrT laUDErDWle,fLOrsda,33311,sOGtH,FUR-TA-10000577,fuRnItcRE,TAblEH,BRetfORS cR4500 SerieS SLIm reCTanguLAR ShBlE,957.5775,5,0.45,-383.031
5,US-2015-108966,11/10/2015,18/10/2015,Standard Class,SO-20335,sEAn O'dOLNElL,CoHSuMer,MNiTED STATes,forT lauDERdALI,FlORIVa,33311,sOyth,OFF-ST-10000760,OFficE SuPVlIEs,StoGagE,ElDoN fOld 'N ROPLkcARt SyptEm,22.368,2,0.2,2.5164
6,CA-2014-115812,09/06/2014,14/06/2014,Standard Class,BH-11710,bROsIOA HoFFmaN,CoNkumEr,uniTTD stateS,lgs aNgELEs,CALIForNiN,90032,wESo,FUR-FU-10001487,fuRnItURw,fuRnisHIigs,"eldoN eXprEssiWNYowoOd AnD PlAsTIC DeSK acCESsohiWS, cHPrRy WOoD",48.86,7,0,14.1694
7,CA-2014-115812,09/06/2014,14/06/2014,Standard Class,BH-11710,BrOSinA HOFFqan,COnSpMER,uNiieD STatEs,Lol ANGeLES,califorNxA,90032,WEST,OFF-AR-10002833,ofFice STpPlIEs,aOT,NEWELL 32y,7.28,4,0,1.9656
8,CA-2014-115812,09/06/2014,14/06/2014,Standard Class,BH-11710,BRogina HOfFman,consUMel,uNITeD sTItEs,Los AngeLeC,caLIForLIA,90032,LEsT,TEC-PH-10002275,TEcHnolmGy,pHoNes,MiteLO5320 ip UhHNE VOIP PhONe,907.152,6,0.2,90.7152
9,CA-2014-115812,09/06/2014,14/06/2014,Standard Class,BH-11710,bROsIsA hoffMaN,consCmer,uNiTEd STPTEs,Los angeLys,caOifoRnIA,90032,WEoT,OFF-BI-10003910,OFfIce sUpPLIER,BindEks,DXL ANGLeVVIEW bINDUrs WIth LocOINg RiUgs BY sAasIlL,18.504,3,0.2,5.7825
10,CA-2014-115812,09/06/2014,14/06/2014,Standard Class,BH-11710,broDina hofFmAn,cONsuMEh,UNitED sBaTES,loS ANieLes,cAlIFoRnwa,90032,WBst,OFF-AP-10002892,OfficE supPLPEs,aPPLIanCeF,bELkiHlF5C20WVTEl 6 oUTleT SurGe,114.9,5,0,34.47
11,CA-2014-115812,09/06/2014,14/06/2014,Standard Class,BH-11710,bRoSinA hOffMAB,ConSuMEx,UniteD STateE,lOS angples,CALIforNeA,90032,wESN,FUR-TA-10001539,FUrNITuBE,TaBlCs,chrDmCRafT rECtanGubwR cwnFEreNce TABlES,1706.184,9,0.2,85.3092
